Date,Open,High,Low,Close,Volume
2025-12-15,159.60,160.68,152.11,153.04,29629000
2025-12-16,154.89,157.21,153.91,156.22,16672500
2025-12-17,157.00,161.93,156.29,156.48,11774500
2025-12-18,156.51,157.78,151.15,153.38,9644000
2025-12-19,152.97,156.16,152.54,155.31,25257500
2025-12-22,156.86,157.16,153.15,156.68,11120300
2025-12-23,155.50,156.09,151.63,154.36,12572500
2025-12-24,153.50,153.94,152.01,152.59,3896800
2025-12-26,152.50,154.48,152.21,153.89,5450500
2025-12-29,153.07,155.69,152.79,154.58,7157700
2025-12-30,153.85,154.69,153.25,154.23,5110600
2025-12-31,153.99,154.54,152.68,153.19,5256100
2026-01-02,153.08,153.20,145.64,147.45,9896600
2026-01-05,146.51,149.81,145.79,147.60,9854900
2026-01-06,147.42,149.57,146.70,148.81,6428200
2026-01-07,148.00,152.11,147.75,150.90,6195600
2026-01-08,149.94,150.30,146.18,146.19,7426100
2026-01-09,147.35,147.35,141.43,141.80,11845400
2026-01-12,141.64,143.77,141.15,142.64,9900000
2026-01-13,142.14,144.70,137.18,138.19,12898300
2026-01-14,137.39,138.19,132.61,134.61,15646900
2026-01-15,135.15,136.24,129.93,131.17,14582800
2026-01-16,129.70,131.35,126.85,127.31,20052400
2026-01-20,126.57,128.78,125.03,125.40,19712200
2026-01-21,128.00,128.01,123.78,125.30,16119600
2026-01-22,126.00,128.73,125.10,128.56,12944200
2026-01-23,128.65,133.85,128.23,133.11,16605400
2026-01-26,134.55,136.63,133.27,136.34,17489700
2026-01-27,135.83,136.03,130.86,131.80,11804200
2026-01-28,132.27,133.67,129.14,129.62,21254100
2026-01-29,118.53,118.96,113.13,116.73,55125100
2026-01-30,117.54,118.83,115.89,117.01,28053900
2026-02-02,118.80,121.67,116.35,118.00,18889100
2026-02-03,115.02,115.89,108.10,109.77,34729600
2026-02-04,107.19,111.15,105.25,111.07,36718100
2026-02-05,109.26,112.09,101.73,102.63,36178800
2026-02-06,101.68,104.00,98.94,100.74,34727000
2026-02-09,100.00,104.25,98.00,103.87,23127400
2026-02-10,104.99,108.98,104.90,106.48,21869600
2026-02-11,105.58,105.94,99.42,100.58,26076000
2026-02-12,101.92,103.71,99.27,103.29,27213100
2026-02-13,105.15,107.69,104.59,107.08,22771200
2026-02-17,109.56,110.85,103.88,105.91,27343000
2026-02-18,105.93,108.26,103.40,107.81,18138700
2026-02-19,108.07,109.22,106.19,107.37,13224700
2026-02-20,106.00,107.80,103.82,104.27,15700300
2026-02-23,101.94,101.94,99.18,100.80,24200000
2026-02-24,100.96,105.70,100.51,102.49,18461700
2026-02-25,101.63,104.73,100.16,104.23,15493100
2026-02-26,107.45,110.15,106.57,109.30,26565100
2026-02-27,105.00,108.70,104.00,108.01,19085200
2026-03-02,105.98,111.08,105.10,109.42,14780500
2026-03-03,108.00,114.92,107.51,113.19,17606100
2026-03-04,112.11,115.21,111.50,113.86,17432000
2026-03-05,114.77,122.08,114.13,120.38,26568000
2026-03-06,120.50,124.66,120.18,124.34,25972300
2026-03-09,123.06,126.67,121.29,121.93,20324700
2026-03-10,120.99,121.43,114.66,116.61,21872600
2026-03-11,117.40,118.83,113.60,115.63,14594900
2026-03-12,115.28,117.21,112.42,112.97,18372100
2026-03-13,112.81,115.91,111.71,113.62,14846400
2026-03-16,116.90,117.20,113.80,114.88,12289400
2026-03-17,115.40,118.99,114.20,116.72,13368500
2026-03-18,115.00,117.44,113.53,113.71,10080100
2026-03-19,114.18,117.09,111.95,113.27,11361600
2026-03-20,111.30,112.15,109.12,110.38,18863000
2026-03-23,110.76,113.25,109.89,110.95,12219100
2026-03-24,109.14,109.25,104.32,104.65,17835200
2026-03-25,106.50,106.88,101.14,103.06,14728600
2026-03-26,102.42,105.84,100.88,103.64,11595300
2026-03-27,102.64,102.67,98.34,99.41,18109900
2026-03-30,100.06,105.99,99.50,104.97,18685600
2026-03-31,105.54,106.58,104.06,104.55,16821300
2026-04-01,105.23,105.90,102.01,104.04,12439700
2026-04-02,101.79,103.41,98.46,102.00,16629900
2026-04-06,102.97,103.33,100.40,102.42,9141300
2026-04-07,102.77,103.96,99.50,100.55,12008200
2026-04-08,104.76,105.58,96.96,97.47,19796900
2026-04-09,96.50,97.16,88.66,89.81,42131500
2026-04-10,88.91,88.91,81.24,83.00,58715600
2026-04-13,84.77,89.24,84.18,89.06,31675400
2026-04-14,90.74,92.40,87.12,87.79,25132700
2026-04-15,90.20,94.83,89.20,94.19,25835900
2026-04-16,97.61,99.39,95.37,96.44,21971800
2026-04-17,97.95,98.82,96.13,96.66,17754600
2026-04-20,97.44,100.67,96.81,99.72,20306600
2026-04-21,100.35,104.50,99.06,100.14,24147900
2026-04-22,101.50,104.31,101.03,103.07,35714800
2026-04-23,87.25,90.02,83.58,84.78,84103100
2026-04-24,85.78,90.39,84.93,90.17,39011800
2026-04-27,89.06,94.03,87.81,90.45,32789100
2026-04-28,91.10,93.00,90.13,90.49,20990400
2026-04-29,89.06,89.30,87.10,88.89,18646600
2026-04-30,87.95,88.71,85.88,88.31,22152200
2026-05-01,90.93,92.60,87.87,91.16,22911800
2026-05-04,91.27,95.62,91.10,91.97,21863500
2026-05-05,92.25,92.89,89.14,92.01,22756800
2026-05-06,91.60,91.68,88.21,89.05,23117900
2026-05-07,92.17,95.56,91.89,93.59,27960700
2026-05-08,91.13,91.85,88.99,91.18,24699000
2026-05-11,91.04,94.75,90.47,91.49,21402900
2026-05-12,92.47,92.77,88.69,89.00,22354600
2026-05-13,88.58,88.58,86.01,87.05,22107000
2026-05-14,87.32,92.00,85.44,90.50,25571500
2026-05-15,92.09,96.67,91.97,95.07,34569700
2026-05-18,98.86,104.68,97.85,103.42,51220700
2026-05-19,110.14,110.83,100.77,101.83,55624400
2026-05-20,100.75,103.35,97.50,103.30,30037700
2026-05-21,100.99,101.59,98.11,99.69,26474000
2026-05-22,102.18,104.59,99.43,102.13,23646300
2026-05-26,100.56,102.54,98.72,99.92,23589900
2026-05-27,99.21,105.40,98.55,102.12,28633300
2026-05-28,107.00,110.16,104.60,108.73,39117700
2026-05-29,118.48,124.74,116.29,124.37,68243400
2026-06-01,135.77,139.20,131.61,135.86,68789000
2026-06-02,129.90,132.74,124.12,127.65,41371600
2026-06-03,127.99,128.08,117.34,117.90,34316400
2026-06-04,121.94,124.80,119.36,119.36,28144000
2026-06-05,119.19,121.20,111.56,112.45,31452000
2026-06-08,111.69,115.36,111.20,114.19,19737700
2026-06-09,110.31,112.39,103.08,106.97,35824800
2026-06-10,105.28,109.80,104.73,106.06,20052700
2026-06-11,103.03,105.12,101.33,103.08,28321500
2026-06-12,103.38,103.45,98.42,102.15,26049400
2026-06-15,104.80,107.18,103.35,104.15,23018000
2026-06-16,102.90,105.66,101.20,101.33,17198400
2026-06-17,100.68,102.89,95.09,95.48,32165600
2026-06-18,95.31,96.24,92.45,95.04,36337200
2026-06-22,93.30,97.44,91.48,93.01,24940900
2026-06-23,95.14,97.50,94.61,95.94,32559700
2026-06-24,94.00,96.99,93.42,93.80,17246400
2026-06-25,91.70,92.06,89.39,89.52,23735600
2026-06-26,90.44,98.92,90.00,98.34,27314900
2026-06-29,100.48,103.21,99.47,99.97,25023100
2026-06-30,97.31,99.64,96.95,99.28,19433300
2026-07-01,103.60,106.69,101.77,105.80,26458600
2026-07-02,106.22,107.68,103.84,106.32,20227500
2026-07-06,104.10,110.64,103.34,107.93,16524500
2026-07-07,111.55,113.79,109.04,110.73,22339400
2026-07-08,106.21,108.44,105.40,107.78,15069400
2026-07-09,102.03,109.25,101.51,108.84,14241400
2026-07-10,111.27,111.50,105.71,107.71,11096900
2026-07-13,109.50,113.03,107.65,111.26,16607300
2026-07-14,103.74,107.96,102.61,104.85,23213100
2026-07-15,106.50,108.75,104.33,104.73,13784200
2026-07-16,104.94,105.86,99.31,104.01,20318200
2026-07-17,102.88,105.83,102.64,103.24,16207300
2026-07-20,100.52,105.33,98.43,104.70,20547100
2026-07-21,101.65,104.58,101.05,102.06,19158500
2026-07-22,100.87,101.16,94.74,95.46,43600900
2026-07-23,100.01,100.25,91.53,91.94,48998200
2026-07-24,94.92,98.93,94.87,98.78,29625400
2026-07-27,101.87,108.15,100.35,105.56,32533700
2026-07-28,106.88,112.28,106.50,110.62,33681100
2026-07-29,110.42,118.36,109.50,115.76,40448100
2026-07-30,110.50,113.12,106.38,110.07,29757900
2026-07-31,108.50,112.39,106.05,111.23,20525300
2026-08-03,114.51,119.64,113.70,114.19,24517500
2026-08-04,112.59,118.33,112.00,118.14,19398600
2026-08-05,119.90,120.00,115.71,117.22,15596900
2026-08-06,113.00,117.42,111.80,117.35,16281500
2026-08-07,121.67,126.15,120.96,124.88,26705900
2026-08-10,124.72,127.89,123.28,127.44,17216100
2026-08-11,126.26,128.97,125.16,127.54,13461000
2026-08-12,123.64,125.64,121.85,124.94,12654600
2026-08-13,125.60,129.75,121.65,127.25,23124900
2026-08-14,127.70,128.65,122.17,124.00,15030800
2026-08-17,122.43,123.36,117.59,117.70,20204200
2026-08-18,119.48,121.84,117.84,119.49,17341500
2026-08-19,118.64,129.60,118.51,127.20,22503800
2026-08-20,128.15,131.15,127.10,129.75,16952300
2026-08-21,130.29,131.18,127.47,128.48,12504600
2026-08-24,128.06,130.15,127.59,128.05,8949300
2026-08-25,125.96,129.81,125.25,127.00,12317500
2026-08-26,122.33,126.56,121.88,125.80,13384900
2026-08-27,130.48,139.32,130.25,138.43,27815500
2026-08-28,138.48,145.72,137.80,144.71,29034400
2026-08-31,142.08,149.60,141.69,147.99,26013700
2026-09-01,144.55,146.96,142.06,142.90,16926100
2026-09-02,140.30,142.60,136.38,136.72,14617700
2026-09-03,140.99,146.98,140.81,145.59,18172800
2026-09-04,143.32,145.26,138.80,141.26,12493500
