Date,Open,High,Low,Close,Volume
2025-09-02,561.31,565.97,559.54,565.62,65876800
2025-09-03,569.23,571.70,566.73,570.07,54230200
2025-09-04,570.74,575.60,569.03,575.23,47526300
2025-09-05,580.49,581.12,571.53,576.06,68342500
2025-09-08,578.37,580.84,577.77,578.87,46371400
2025-09-09,579.67,580.94,577.04,580.51,44007600
2025-09-10,583.74,583.77,578.55,580.70,49308000
2025-09-11,583.24,584.88,581.62,584.08,44745800
2025-09-12,585.04,587.86,584.10,586.66,50745900
2025-09-15,588.44,591.79,588.29,591.68,44360300
2025-09-16,592.61,592.86,590.49,591.18,36942100
2025-09-17,591.10,591.75,584.37,590.00,69384800
2025-09-18,594.91,598.14,592.96,595.32,61069300
2025-09-19,597.33,600.05,595.85,599.35,58196100
2025-09-22,597.74,602.87,597.72,602.20,57154800
2025-09-23,602.37,602.57,596.98,598.20,64635500
2025-09-24,599.58,599.90,593.36,596.10,49850300
2025-09-25,592.20,595.12,588.50,593.53,70920200
2025-09-26,594.35,596.30,591.06,595.97,54337400
2025-09-29,599.11,602.05,597.41,598.73,48332900
2025-09-30,598.43,600.71,596.10,600.37,46533800
2025-10-01,597.17,603.79,596.34,603.25,46899600
2025-10-02,607.06,607.16,602.93,605.73,43765400
2025-10-03,606.51,607.33,601.39,603.18,46482100
2025-10-06,608.45,609.36,605.97,607.71,41962100
2025-10-07,609.02,609.71,603.03,604.51,58209500
2025-10-08,605.41,611.75,605.26,611.44,50629800
2025-10-09,611.48,611.61,607.48,610.70,45551000
2025-10-10,611.40,613.18,589.05,589.50,97614800
2025-10-13,599.68,602.95,597.23,602.01,65872600
2025-10-14,595.31,602.69,590.13,598.00,69203200
2025-10-15,604.01,606.70,595.93,602.22,62805500
2025-10-16,605.11,608.31,595.50,599.99,70982000
2025-10-17,597.95,605.51,596.37,603.93,72024900
2025-10-20,607.14,612.80,607.07,611.54,45761700
2025-10-21,611.64,612.72,609.32,611.38,44538200
2025-10-22,610.82,611.41,599.74,605.49,61478800
2025-10-23,604.91,611.37,604.52,610.58,42844300
2025-10-24,615.99,618.42,615.13,617.10,47632500
2025-10-27,624.52,628.55,624.03,628.09,54098600
2025-10-28,630.36,634.68,629.25,632.92,61195700
2025-10-29,635.59,637.01,630.25,635.77,67422800
2025-10-30,632.17,633.50,625.94,626.05,61628600
2025-10-31,634.17,634.20,626.69,629.07,66305100
2025-11-03,635.11,635.82,629.85,632.08,37154300
2025-11-04,623.28,626.95,618.46,619.25,63830800
2025-11-05,618.49,626.60,617.21,623.28,48688500
2025-11-06,621.79,622.04,610.30,611.67,72115100
2025-11-07,608.31,609.95,598.67,609.74,81835400
2025-11-10,618.92,624.31,616.89,623.23,55919900
2025-11-11,620.57,622.72,617.52,621.57,44868800
2025-11-12,624.84,624.86,617.81,621.08,47444400
2025-11-13,617.54,618.12,606.08,608.40,71333600
2025-11-14,599.55,613.35,597.17,608.86,80087300
2025-11-17,606.30,612.48,599.87,603.66,63850400
2025-11-18,599.62,602.31,591.34,596.31,83327300
2025-11-19,597.07,606.16,594.59,599.87,73111500
2025-11-20,611.62,614.03,584.75,585.67,117743200
2025-11-21,587.47,596.98,580.74,590.07,103344200
2025-11-24,595.28,606.68,595.16,605.16,60168100
2025-11-25,603.51,610.26,597.32,608.89,57560900
2025-11-26,612.51,616.19,610.39,614.27,42393600
2025-11-28,616.11,619.32,615.42,619.25,23034400
2025-12-01,613.63,619.44,612.52,617.17,40957600
2025-12-02,619.46,623.75,617.59,622.00,54541800
2025-12-03,619.62,624.22,618.03,623.52,47841600
2025-12-04,624.93,624.94,619.54,622.94,47067800
2025-12-05,624.38,628.92,623.71,625.48,53614200
2025-12-08,627.21,628.84,621.69,624.28,43462400
2025-12-09,623.01,625.87,621.00,625.05,37156000
2025-12-10,623.85,629.21,620.99,627.61,55031400
2025-12-11,623.82,625.78,617.72,625.58,58272800
2025-12-12,622.08,623.54,611.36,613.62,75158700
2025-12-15,618.37,618.42,609.32,610.54,49538200
2025-12-16,608.26,613.51,606.91,611.75,55152800
2025-12-17,613.06,613.65,600.28,600.41,70654300
2025-12-18,609.80,612.93,606.92,609.11,78875800
2025-12-19,611.95,617.62,611.87,617.05,60369800
2025-12-22,621.35,621.65,617.77,619.21,43703100
2025-12-23,618.20,622.41,617.78,622.11,41120400
2025-12-24,621.99,624.28,621.72,623.93,18468700
2025-12-26,624.66,625.52,623.14,623.89,28959800
2025-12-29,620.10,622.78,618.73,620.87,32458300
2025-12-30,619.84,622.18,619.22,619.43,31226800
2025-12-31,619.65,619.96,614.05,614.31,40746500
2026-01-02,620.06,622.85,610.15,613.12,61859200
2026-01-05,619.32,620.81,616.72,617.99,46828400
2026-01-06,619.23,624.02,618.54,623.42,43137500
2026-01-07,623.04,627.94,622.56,624.02,44880300
2026-01-08,623.03,623.42,617.80,620.47,50435900
2026-01-09,621.41,627.89,619.06,626.65,49688700
2026-01-12,622.31,628.85,622.26,627.17,37388700
2026-01-13,627.27,629.47,623.70,626.24,44481400
2026-01-14,622.24,623.45,614.56,619.55,72598700
2026-01-15,626.60,630.00,620.75,621.78,53934900
2026-01-16,625.50,626.08,618.88,621.26,61058100
2026-01-20,610.53,615.06,607.05,608.06,81988900
2026-01-21,609.47,620.42,607.86,616.28,79837900
2026-01-22,622.35,622.46,617.78,620.76,42254800
2026-01-23,619.73,625.40,618.65,622.72,43645800
2026-01-26,623.21,627.61,622.12,625.46,35983000
2026-01-27,628.91,632.04,627.34,631.13,38997200
2026-01-28,635.46,636.60,631.81,633.22,50691700
2026-01-29,632.65,633.67,618.27,629.43,79944000
2026-01-30,625.71,628.26,619.30,621.87,65650700
2026-02-02,618.70,628.49,618.66,626.14,49020300
2026-02-03,628.30,629.98,610.96,616.52,81234000
2026-02-04,615.02,615.10,600.47,605.75,81850700
2026-02-05,600.21,604.81,594.76,597.03,89354500
2026-02-06,600.19,611.41,598.77,609.65,78019300
2026-02-09,607.54,616.46,605.07,614.32,56797600
2026-02-10,615.31,617.02,611.01,611.47,53938900
