Date,Open,High,Low,Close,Volume
2026-06-16,7548.78,7564.96,7508.68,7511.35,5286210000
2026-06-17,7524.50,7532.17,7402.61,7420.10,5883740000
2026-06-18,7487.36,7511.07,7468.32,7500.58,9061110000
2026-06-22,7500.44,7530.01,7460.01,7472.79,5976740000
2026-06-23,7366.51,7424.17,7347.60,7365.46,5640530000
2026-06-24,7370.88,7428.06,7336.82,7358.22,5994860000
2026-06-25,7404.91,7419.08,7323.50,7357.49,5565760000
2026-06-26,7312.74,7392.95,7294.18,7354.02,9105600000
2026-06-29,7391.88,7444.32,7348.88,7440.43,5794570000
2026-06-30,7441.27,7508.29,7438.04,7499.36,6037540000
2026-07-01,7478.84,7521.81,7449.63,7483.23,5782730000
2026-07-02,7495.14,7540.75,7427.55,7483.24,5463520000
2026-07-06,7506.96,7551.31,7500.97,7537.43,4971110000
2026-07-07,7516.63,7536.06,7478.63,7503.85,5049590000
2026-07-08,7476.54,7488.51,7421.82,7482.71,5102020000
2026-07-09,7491.60,7546.89,7481.73,7543.64,4442950000
2026-07-10,7547.64,7579.93,7508.16,7575.39,4006370000
2026-07-13,7547.53,7565.37,7506.41,7515.34,4729990000
2026-07-14,7536.70,7557.44,7513.23,7543.59,4836950000
2026-07-15,7571.72,7581.50,7526.95,7572.40,5236550000
2026-07-16,7558.80,7570.74,7504.02,7533.77,5365300000
2026-07-17,7447.52,7498.47,7431.26,7457.69,5303290000
2026-07-20,7489.18,7513.23,7440.53,7443.28,5152910000
2026-07-21,7489.95,7515.31,7467.86,7509.20,5149030000
2026-07-22,7497.47,7525.94,7485.85,7498.96,4890390000
2026-07-23,7418.29,7450.12,7376.00,7408.30,5515210000
2026-07-24,7406.30,7460.98,7396.53,7411.98,4860620000
2026-07-27,7464.20,7480.57,7382.74,7413.18,5038290000
2026-07-28,7395.55,7452.09,7382.95,7428.78,5590890000
2026-07-29,7418.16,7450.84,7313.92,7316.15,5836350000
2026-07-30,7390.45,7448.75,7370.98,7437.63,5594430000
2026-07-31,7462.13,7512.04,7399.83,7489.72,5391020000
2026-08-03,7504.78,7610.04,7504.78,7600.50,5201470000
2026-08-04,7630.62,7758.21,7629.10,7736.52,5906940000
2026-08-05,7771.62,7793.68,7720.17,7723.55,5615640000
2026-08-06,7713.79,7742.85,7698.15,7709.96,5330830000
2026-08-07,7735.18,7763.08,7719.19,7757.64,5019970000
2026-08-10,7751.74,7773.76,7743.11,7753.11,4879540000
2026-08-11,7767.51,7767.51,7717.25,7728.20,4739500000
2026-08-12,7765.46,7766.01,7737.95,7748.50,4574170000
2026-08-13,7763.18,7816.70,7763.18,7798.99,4833230000
2026-08-14,7806.60,7810.01,7776.31,7785.76,4159900000
2026-08-17,7790.68,7790.68,7744.88,7745.06,4452630000
2026-08-18,7700.04,7713.95,7688.63,7691.76,4602700000
2026-08-19,7716.74,7743.93,7700.07,7707.98,5184100000
2026-08-20,7690.49,7699.96,7639.01,7641.16,4759610000
2026-08-21,7665.68,7697.11,7660.06,7674.37,4497270000
2026-08-24,7663.38,7670.30,7638.17,7652.86,4400800000
2026-08-25,7676.66,7686.11,7650.92,7677.28,4260240000
2026-08-26,7666.88,7690.73,7657.41,7675.70,4100600000
2026-08-27,7710.34,7741.27,7689.89,7730.99,4362240000
2026-08-28,7735.17,7771.48,7700.91,7711.76,4297560000
2026-08-31,7697.52,7697.52,7665.06,7686.14,5386090000
2026-09-01,7635.47,7663.63,7611.20,7631.47,4858180000
2026-09-02,7634.58,7681.19,7633.62,7666.60,4738910000
2026-09-03,7686.71,7756.76,7686.71,7747.71,4726400000
2026-09-04,7750.19,7750.19,7706.12,7718.60,4103570000
2026-09-08,7717.81,7717.81,7666.99,7673.52,4966930000
2026-09-09,7660.68,7660.68,7624.16,7636.36,4896940000
2026-09-10,7594.74,7612.86,7580.06,7591.70,4893500000
2026-09-11,7636.75,7677.02,7636.75,7656.98,4722480000
2026-09-14,7611.44,7647.99,7592.28,7619.98,4963750000
2026-09-15,7612.30,7617.26,7572.69,7585.73,5154930000
