Date,Open,High,Low,Close,Volume
2026-06-15,35075.10,35398.30,35075.10,35275.60,290497600
2026-06-16,35340.10,35456.80,35261.00,35389.60,272818300
2026-06-17,35364.50,35629.90,35081.70,35125.10,297692400
2026-06-18,35214.80,35281.10,34893.90,34969.30,311270200
2026-06-19,34894.80,35006.00,34873.80,34968.90,128812800
2026-06-22,34857.80,35084.90,34857.80,35002.20,278255900
2026-06-23,34828.30,35059.80,34584.60,34927.40,306115000
2026-06-24,34818.30,34847.80,34559.10,34736.10,318857800
2026-06-25,34880.00,35107.10,34802.10,34850.20,252573400
2026-06-26,34827.60,35123.60,34791.10,34980.00,278542300
2026-06-29,35020.70,35035.60,34752.00,34823.80,295233900
2026-06-30,34811.00,34919.60,34727.10,34857.00,283403300
2026-07-02,34974.80,35110.10,34691.20,34966.70,335059900
2026-07-03,35082.40,35352.10,35082.40,35247.30,46651300
2026-07-06,35233.40,35312.80,35053.90,35212.30,278554000
2026-07-07,35235.40,35414.60,35076.60,35272.60,300704100
2026-07-08,35125.60,35125.60,34618.40,34935.80,267646300
2026-07-09,34990.50,35263.00,34990.50,35200.50,250707400
2026-07-10,35249.20,35357.10,35128.00,35305.30,199949200
2026-07-13,35287.10,35416.90,35168.80,35252.70,247367100
2026-07-14,35261.50,35502.80,35261.50,35320.50,207974800
2026-07-15,35345.20,35479.30,35243.70,35416.20,211718500
2026-07-16,35365.50,35441.80,35158.30,35340.20,219388500
2026-07-17,35217.40,35346.40,35034.00,35263.90,237322600
2026-07-20,35280.40,35378.30,34960.30,34960.30,198067800
2026-07-21,35066.50,35369.10,34986.50,35369.10,221775000
2026-07-22,35419.60,35730.80,35419.60,35485.10,223489200
2026-07-23,35364.80,35364.80,35082.10,35192.70,239632900
2026-07-24,35264.00,35453.60,35230.00,35369.10,194954300
2026-07-27,35395.20,35592.10,35317.00,35568.10,242327700
2026-07-28,35497.30,35760.00,35374.40,35749.70,252070900
2026-07-29,35701.10,35727.90,35279.70,35333.80,285380700
2026-07-30,35439.20,35526.40,35217.40,35505.80,245711900
2026-07-31,35449.90,35482.20,35189.80,35226.10,323160300
2026-08-04,35422.50,35847.20,35422.50,35801.60,363516700
2026-08-05,36226.60,36443.30,36142.70,36146.40,329458400
2026-08-06,36116.50,36249.80,35981.90,36136.30,274042300
2026-08-07,36234.50,36385.80,36234.50,36381.20,301046200
2026-08-10,36348.60,36534.20,36298.60,36458.30,299509100
2026-08-11,36492.00,36661.20,36452.90,36475.90,272083600
2026-08-12,36552.80,36700.40,36499.80,36662.10,255661900
2026-08-13,36660.20,36763.80,36534.30,36759.30,243561700
2026-08-14,36778.00,36844.70,36638.10,36730.30,187274400
2026-08-17,36687.40,36819.10,36643.10,36667.90,212212700
2026-08-18,36615.50,36624.10,36313.60,36367.90,195868700
2026-08-19,36536.30,36737.40,36340.40,36401.80,276779700
2026-08-20,36308.30,36481.20,36222.30,36365.40,244828900
2026-08-21,36474.80,36717.80,36474.80,36620.20,268889600
2026-08-24,36598.80,36731.50,36520.80,36714.10,265095800
2026-08-25,36627.50,36991.70,36627.50,36957.60,242694700
2026-08-26,36809.50,37069.10,36808.40,36813.70,229776800
2026-08-27,36806.40,36835.60,36624.60,36834.30,239027200
2026-08-28,36876.50,36963.10,36431.60,36553.90,234486300
2026-08-31,36493.50,36559.90,36144.30,36270.50,337071600
2026-09-01,36116.80,36141.10,35722.00,35825.70,305940000
2026-09-02,35903.00,36116.80,35903.00,36091.60,265437800
2026-09-03,36259.10,36669.10,36259.10,36633.10,247988200
2026-09-04,36487.70,36666.40,36432.30,36513.80,213153600
2026-09-08,36421.60,36445.40,36107.60,36123.10,294147100
2026-09-09,36174.60,36174.60,35892.90,35906.60,290603700
2026-09-10,35739.40,35739.40,35427.50,35506.30,275614700
2026-09-11,35673.80,35857.40,35578.50,35697.50,214351000
2026-09-14,35603.10,35847.50,35520.90,35702.50,301230600
2026-09-15,35682.20,35705.30,35405.60,35582.10,244283500
