Date,Open,High,Low,Close,Volume
2026-06-15,31.30,31.33,31.09,31.16,2400
2026-06-16,31.47,31.62,31.47,31.52,2900
2026-06-17,31.83,31.94,31.83,31.91,700
2026-06-18,32.03,32.12,32.03,32.05,6100
2026-06-19,32.28,32.28,31.98,32.01,7100
2026-06-22,31.94,32.20,31.94,32.09,4000
2026-06-23,31.98,32.28,31.93,32.19,3500
2026-06-24,32.24,32.30,32.10,32.30,2600
2026-06-25,32.47,32.69,32.45,32.46,2900
2026-06-26,32.50,32.50,32.20,32.24,1600
2026-06-29,32.49,32.50,32.35,32.50,6500
2026-06-30,32.54,32.73,32.54,32.65,2200
2026-07-02,32.94,32.94,32.56,32.74,9800
2026-07-03,32.76,33.07,32.76,32.93,4000
2026-07-06,33.05,33.17,32.98,33.17,19600
2026-07-07,33.24,33.42,33.24,33.42,400
2026-07-08,32.94,32.94,32.68,32.74,12900
2026-07-09,32.82,33.10,32.82,33.03,14500
2026-07-10,33.17,33.23,33.17,33.23,500
2026-07-13,33.24,33.24,33.13,33.23,500
2026-07-14,33.13,33.35,33.13,33.35,3800
2026-07-15,33.72,33.84,33.72,33.81,3300
2026-07-16,33.77,34.01,33.74,33.76,2700
2026-07-17,33.62,33.93,33.60,33.70,7200
2026-07-20,33.69,33.69,33.00,33.01,7400
2026-07-21,33.07,33.08,33.03,33.03,2900
2026-07-22,33.13,33.23,33.03,33.04,3500
2026-07-23,32.73,32.73,32.53,32.70,3700
2026-07-24,33.02,33.26,33.02,33.02,2500
2026-07-27,33.43,33.46,33.16,33.43,5000
2026-07-28,33.40,33.96,33.27,33.96,2300
2026-07-29,33.42,33.42,32.66,32.69,12300
2026-07-30,33.11,33.11,33.11,33.11,200
2026-07-31,33.05,33.26,33.05,33.26,500
2026-08-04,33.42,33.55,33.29,33.45,5000
2026-08-05,33.63,33.63,33.49,33.49,400
2026-08-06,33.58,33.58,33.27,33.27,4600
2026-08-07,33.12,33.15,33.11,33.15,1800
2026-08-10,33.13,33.19,33.11,33.11,14200
2026-08-11,33.20,33.20,32.95,32.95,2300
2026-08-12,33.06,33.19,32.94,33.19,800
2026-08-13,33.52,33.56,33.26,33.39,7700
2026-08-14,33.38,33.38,33.34,33.34,500
2026-08-17,33.26,33.26,33.26,33.26,2400
2026-08-18,33.06,33.06,32.75,32.77,4600
2026-08-19,32.69,32.69,31.86,31.86,2600
2026-08-20,31.71,31.71,31.09,31.09,1900
2026-08-21,31.62,31.62,31.37,31.37,2900
2026-08-24,31.12,31.56,31.12,31.39,2000
2026-08-25,31.58,32.09,31.58,32.09,2800
2026-08-26,32.07,32.13,32.07,32.08,2000
2026-08-27,31.96,31.96,31.61,31.83,5000
2026-08-28,31.77,31.92,31.72,31.92,6400
2026-08-31,31.81,31.98,31.55,31.55,3100
2026-09-01,31.21,31.32,31.19,31.32,7200
2026-09-02,31.69,31.85,31.69,31.85,600
2026-09-03,32.45,32.48,32.34,32.48,2200
2026-09-04,32.54,32.62,32.40,32.40,3400
2026-09-08,32.16,32.16,31.72,31.72,2800
2026-09-09,31.17,31.39,31.17,31.33,3300
2026-09-10,31.28,31.47,31.28,31.47,2900
2026-09-11,31.73,31.73,31.73,31.73,4800
2026-09-14,31.74,31.78,31.69,31.75,2600
2026-09-15,31.52,31.67,31.52,31.67,900
