Date,Open,High,Low,Close,Volume
2026-06-15,72.50,72.57,71.52,72.00,5826600
2026-06-16,72.30,72.81,72.13,72.68,7808300
2026-06-17,72.76,73.59,72.76,73.42,1954300
2026-06-18,73.94,74.20,73.67,73.80,1789000
2026-06-19,74.03,74.73,73.96,74.22,656300
2026-06-22,74.12,74.73,74.12,74.57,3156800
2026-06-23,74.15,74.97,73.84,74.86,932800
2026-06-24,74.97,75.01,74.18,74.51,2715800
2026-06-25,74.78,75.25,74.69,74.98,4270800
2026-06-26,74.85,74.90,74.32,74.59,2684200
2026-06-29,74.86,75.18,74.55,75.09,2589900
2026-06-30,75.15,75.77,75.01,75.64,1259200
2026-07-02,76.05,76.14,74.27,74.58,1492900
2026-07-03,74.79,75.44,74.79,74.97,139100
2026-07-06,75.10,75.89,75.10,75.89,1361000
2026-07-07,75.83,76.36,75.46,76.32,4826300
2026-07-08,75.91,76.07,74.23,74.71,4171800
2026-07-09,75.10,75.79,75.06,75.63,1496000
2026-07-10,75.75,76.87,75.70,76.78,2318400
2026-07-13,76.74,77.16,76.20,76.68,1975300
2026-07-14,76.65,77.64,76.65,77.23,881200
2026-07-15,77.43,78.46,77.43,78.44,2375900
2026-07-16,78.37,78.44,77.54,78.05,1451200
2026-07-17,77.38,78.51,77.05,77.80,1560700
2026-07-20,77.87,78.07,75.96,76.04,3163000
2026-07-21,76.27,76.56,75.80,76.35,1285700
2026-07-22,76.30,76.94,76.14,76.41,1386400
2026-07-23,75.79,75.79,75.03,75.50,1194000
2026-07-24,75.66,76.21,75.60,75.99,1153300
2026-07-27,76.43,76.78,75.75,76.34,1836200
2026-07-28,76.04,77.23,75.50,77.19,1929100
2026-07-29,76.80,76.80,74.51,74.71,1860900
2026-07-30,75.44,76.26,75.35,76.01,828600
2026-07-31,76.18,76.63,76.06,76.13,1132400
2026-08-04,76.77,77.07,75.97,76.04,1018500
2026-08-05,75.86,77.12,75.73,76.52,897300
2026-08-06,76.80,77.20,76.27,76.53,1100400
2026-08-07,76.47,76.47,75.78,76.40,744400
2026-08-10,76.34,76.93,76.27,76.30,849100
2026-08-11,76.55,77.02,76.06,76.14,1190400
2026-08-12,76.40,77.51,76.21,77.36,2091600
2026-08-13,77.58,78.06,77.38,77.76,1591700
2026-08-14,77.74,78.14,77.54,78.13,499600
2026-08-17,77.99,78.60,77.84,78.01,761300
2026-08-18,77.93,77.99,76.35,76.85,1703800
2026-08-19,77.16,77.16,74.28,74.31,2350600
2026-08-20,74.04,74.05,72.67,73.01,2760500
2026-08-21,73.36,74.10,73.18,73.34,1510200
2026-08-24,72.85,73.54,72.59,73.08,1886900
2026-08-25,73.46,75.14,73.35,75.05,1665400
2026-08-26,74.99,75.35,74.65,74.85,1934400
2026-08-27,74.79,74.90,73.35,74.25,2237600
2026-08-28,74.45,74.88,73.74,74.37,1654100
2026-08-31,74.17,74.60,73.66,73.72,1305200
2026-09-01,73.59,74.07,72.75,73.22,2256300
2026-09-02,73.36,74.70,73.36,74.67,1226200
2026-09-03,74.79,76.00,74.63,75.86,1145700
2026-09-04,75.85,76.20,75.37,75.47,581100
2026-09-08,75.15,75.36,74.60,74.65,732500
2026-09-09,74.32,74.32,73.49,73.86,1309700
2026-09-10,73.62,74.15,73.62,74.10,631100
2026-09-11,74.72,75.00,73.86,74.58,1071500
2026-09-14,74.35,75.06,74.25,74.55,772400
2026-09-15,74.50,74.50,73.54,74.34,1417700
