Date,Open,High,Low,Close,Volume
2025-07-02,44.38,44.53,44.28,44.47,2733600
2025-07-03,44.57,44.76,44.53,44.72,4146900
2025-07-04,44.65,44.78,44.65,44.71,692600
2025-07-07,44.72,45.01,44.65,44.68,4442700
2025-07-08,44.72,44.74,44.52,44.70,2173100
2025-07-09,44.76,45.02,44.76,44.94,1846400
2025-07-10,44.92,45.29,44.91,45.19,1719100
2025-07-11,45.03,45.03,44.77,44.95,2233100
2025-07-14,44.90,44.97,44.75,44.94,903000
2025-07-15,44.94,44.94,44.69,44.76,870500
2025-07-16,44.79,45.05,44.65,45.04,1415300
2025-07-17,44.96,45.48,44.91,45.41,3134200
2025-07-18,45.45,45.45,45.27,45.38,1034800
2025-07-21,45.39,45.55,45.37,45.45,550800
2025-07-22,45.42,45.55,45.41,45.51,603700
2025-07-23,45.58,45.75,45.58,45.66,1058900
2025-07-24,45.71,45.79,45.60,45.61,1291300
2025-07-25,45.63,45.83,45.50,45.82,571200
2025-07-28,45.82,45.82,45.51,45.63,658500
2025-07-29,45.69,45.71,45.29,45.43,1551000
2025-07-30,45.48,45.72,45.35,45.43,1465100
2025-07-31,45.31,45.38,45.08,45.22,4273000
2025-08-01,44.78,45.09,44.69,45.03,3049300
2025-08-05,45.39,45.49,45.16,45.35,1970300
2025-08-06,45.42,45.57,45.31,45.43,929300
2025-08-07,45.47,45.68,45.37,45.43,3171900
2025-08-08,45.51,45.76,45.51,45.68,932800
2025-08-11,45.68,45.88,45.68,45.81,3354200
2025-08-12,45.88,46.14,45.88,46.07,1224800
2025-08-13,46.28,46.43,46.28,46.41,2537300
2025-08-14,46.43,46.65,46.32,46.65,2032500
2025-08-15,46.71,46.76,46.59,46.60,1711200
2025-08-18,46.60,46.60,46.47,46.58,557700
2025-08-19,46.60,46.72,46.56,46.59,3028700
2025-08-20,46.69,46.71,46.52,46.61,2385600
2025-08-21,46.55,46.71,46.51,46.64,2481100
2025-08-22,46.77,47.01,46.70,46.94,3424000
2025-08-25,46.91,46.91,46.60,46.69,3304100
2025-08-26,46.92,47.85,46.90,47.84,7329000
2025-08-27,47.70,48.32,47.65,48.13,5822900
2025-08-28,48.74,48.75,47.67,47.90,2442600
2025-08-29,47.89,48.33,47.82,48.23,2124600
2025-09-02,48.02,48.33,47.86,48.30,1158200
2025-09-03,48.43,48.78,48.35,48.78,3480700
2025-09-04,48.92,49.14,48.83,49.14,3463000
2025-09-05,49.28,49.39,48.90,49.14,1153800
2025-09-08,49.08,49.17,48.87,49.13,1159300
2025-09-09,49.04,49.44,49.04,49.33,2399300
2025-09-10,49.44,49.65,49.38,49.55,1236400
2025-09-11,49.68,49.90,49.62,49.85,3170800
2025-09-12,49.83,49.88,49.61,49.63,2144600
2025-09-15,49.70,49.87,49.57,49.83,738300
2025-09-16,49.86,50.17,49.72,50.15,1182400
2025-09-17,50.17,50.52,50.15,50.25,1694600
2025-09-18,50.20,50.51,50.16,50.33,3615000
2025-09-19,50.87,50.87,50.48,50.67,1664300
2025-09-22,50.73,50.88,50.60,50.80,1940700
2025-09-23,50.84,51.05,50.81,50.84,875600
2025-09-24,50.86,51.00,50.60,50.67,1327300
2025-09-25,50.56,50.80,50.47,50.75,4116700
2025-09-26,50.88,51.02,50.80,50.91,1620600
2025-09-29,51.05,51.10,50.70,50.91,864300
2025-09-30,50.91,51.08,50.56,50.91,2506800
2025-10-01,50.99,51.31,50.99,51.18,3610900
2025-10-02,51.19,51.23,50.84,51.17,1333000
2025-10-03,51.20,51.58,51.11,51.47,1270800
2025-10-06,51.68,51.70,51.12,51.52,860100
2025-10-07,51.58,51.67,51.31,51.37,1019500
2025-10-08,51.50,51.50,50.75,50.84,1659200
2025-10-09,50.87,51.02,50.81,50.96,1839300
2025-10-10,51.06,51.26,50.60,50.62,1349900
2025-10-14,50.69,51.38,50.55,51.33,1392400
2025-10-15,51.42,51.81,51.42,51.79,986700
2025-10-16,51.71,51.82,50.87,51.06,2343300
2025-10-17,50.86,51.20,50.82,50.97,1169400
2025-10-20,51.10,51.47,51.09,51.39,509700
2025-10-21,51.38,51.53,51.37,51.40,489400
2025-10-22,51.42,51.52,51.24,51.38,750300
2025-10-23,51.46,51.65,51.45,51.55,1426500
2025-10-24,51.63,51.94,51.63,51.85,1070400
2025-10-27,52.01,52.26,51.88,52.26,2088100
2025-10-28,52.32,52.58,52.13,52.49,754600
2025-10-29,52.55,52.55,51.72,51.90,1714400
2025-10-30,51.92,52.18,51.89,51.99,906800
2025-10-31,52.00,52.34,51.81,52.29,905900
2025-11-03,52.30,52.72,52.25,52.65,1205600
2025-11-04,52.41,52.62,52.11,52.29,1047300
2025-11-05,52.40,52.52,52.15,52.34,970100
2025-11-06,52.37,52.52,52.08,52.42,591600
2025-11-07,52.21,52.43,51.85,52.43,2080300
2025-11-10,52.60,52.91,52.53,52.85,1623100
2025-11-11,52.91,53.13,52.85,52.99,2139900
2025-11-12,53.22,53.66,53.18,53.63,1946300
2025-11-13,53.53,53.73,52.89,53.10,2091400
2025-11-14,52.79,53.17,52.49,53.17,1369400
2025-11-17,53.16,53.40,52.91,53.13,2359000
2025-11-18,52.88,53.19,52.58,53.02,2207900
2025-11-19,52.99,53.02,52.61,52.85,1812800
2025-11-20,53.19,53.28,52.49,52.62,2212300
2025-11-21,52.72,53.11,52.56,53.08,1040500
2025-11-24,53.15,53.45,52.92,53.32,1349200
2025-11-25,53.46,53.87,53.44,53.82,2417900
2025-11-26,54.08,54.31,53.95,54.31,1449600
2025-11-27,54.31,54.46,54.20,54.33,286800
2025-11-28,54.36,54.59,54.21,54.54,770300
2025-12-01,54.37,54.37,53.87,54.00,1927300
2025-12-02,54.30,54.83,54.13,54.82,2338200
2025-12-03,54.99,55.35,54.53,54.76,1678700
2025-12-04,54.96,55.90,54.69,55.81,2423400
2025-12-05,55.81,56.03,55.77,56.00,1232600
2025-12-08,56.02,56.16,55.88,55.95,913700
2025-12-09,56.05,56.35,56.03,56.17,615400
2025-12-10,56.22,56.94,56.17,56.73,1077300
2025-12-11,56.86,57.10,56.68,57.09,723000
2025-12-12,57.19,57.33,56.90,56.94,368700
2025-12-15,57.00,57.34,56.99,57.21,594000
2025-12-16,57.09,57.20,56.93,56.99,2243900
2025-12-17,57.19,57.19,56.31,56.41,1265000
2025-12-18,56.68,57.03,56.60,56.92,1126400
2025-12-19,57.12,57.65,57.12,57.13,2218900
2025-12-22,57.48,57.64,57.22,57.33,651000
2025-12-23,57.24,57.72,57.24,57.43,2057500
2025-12-24,57.45,57.73,57.34,57.53,325100
2025-12-29,57.53,57.83,57.49,57.67,1114400
2025-12-30,57.76,57.81,57.54,57.54,217300
2025-12-31,57.58,57.58,57.28,57.28,477800
2026-01-02,57.51,57.78,57.31,57.78,526000
2026-01-05,57.87,58.58,57.86,58.56,1139400
2026-01-06,58.63,58.90,57.86,57.91,2998400
2026-01-07,57.82,58.08,57.67,57.78,993800
2026-01-08,57.71,58.26,57.71,58.05,815400
2026-01-09,58.20,58.33,57.92,58.12,1492900
2026-01-12,57.97,58.17,57.72,58.11,1818000
2026-01-13,58.25,58.31,57.90,57.99,980000
2026-01-14,57.95,57.97,57.57,57.93,2583900
2026-01-15,58.03,58.34,58.03,58.28,1191900
2026-01-16,58.36,58.64,58.32,58.39,1049200
2026-01-19,58.18,58.25,57.99,58.16,822300
2026-01-20,57.97,58.12,57.38,57.45,1503200
2026-01-21,57.44,58.18,57.17,57.77,1345100
2026-01-22,57.95,58.28,57.92,58.07,704100
2026-01-23,58.12,58.12,57.54,57.88,1046600
2026-01-26,57.99,58.22,57.63,57.68,823900
2026-01-27,57.73,58.10,57.58,57.66,574100
2026-01-28,57.60,57.81,56.90,57.12,2176900
2026-01-29,57.18,57.77,57.18,57.74,2324000
2026-01-30,57.57,57.76,56.76,57.03,1372900
2026-02-02,57.13,58.18,57.12,58.04,1848600
2026-02-03,58.17,58.51,58.03,58.38,1226900
2026-02-04,58.58,58.83,58.32,58.47,1255700
2026-02-05,58.17,58.66,57.89,58.48,1497500
2026-02-06,58.80,59.17,58.76,59.16,2258300
2026-02-09,59.12,59.93,59.12,59.88,1632500
2026-02-10,60.05,60.16,59.87,60.11,1403800
2026-02-11,60.42,60.42,59.55,59.60,2003200
2026-02-12,59.81,59.96,58.62,58.73,1795900
2026-02-13,58.63,58.97,58.17,58.93,1352600
2026-02-17,59.03,59.40,58.85,59.09,822600
2026-02-18,59.37,59.78,59.34,59.68,1039800
2026-02-19,59.72,59.93,59.43,59.92,692800
2026-02-20,59.90,60.69,59.89,60.69,1463200
2026-02-23,60.72,61.03,59.70,60.03,2268100
2026-02-24,60.15,60.17,59.50,59.74,1407600
2026-02-25,60.15,61.60,60.15,61.42,3597800
2026-02-26,61.73,62.24,61.31,62.01,3686900
2026-02-27,61.78,62.07,60.61,60.73,3117900
2026-03-02,59.99,61.29,59.81,61.14,1512200
2026-03-03,60.41,60.69,59.54,60.45,2917800
2026-03-04,60.63,61.02,60.51,60.87,1138100
2026-03-05,60.59,60.65,59.87,60.17,1503400
2026-03-06,59.58,59.58,58.87,59.14,3299200
2026-03-09,58.25,58.92,57.71,58.72,2215600
2026-03-10,58.87,59.59,58.70,59.11,1841200
2026-03-11,58.98,59.43,58.91,59.00,863100
2026-03-12,58.59,58.65,57.94,58.03,2208400
2026-03-13,58.28,58.66,57.58,57.60,2340900
2026-03-16,57.87,58.76,57.87,58.64,3107700
2026-03-17,58.97,59.22,58.82,58.87,690300
2026-03-18,58.70,59.11,58.19,58.27,997700
2026-03-19,57.81,57.87,57.39,57.58,2908700
2026-03-20,57.41,57.56,56.42,56.78,3951100
2026-03-23,57.35,58.16,57.35,57.91,2102300
2026-03-24,57.46,58.42,57.23,58.03,3009200
2026-03-25,58.57,58.77,58.33,58.62,1583800
2026-03-26,58.20,58.76,57.48,57.53,2013600
2026-03-27,57.23,57.33,56.83,57.02,1894200
2026-03-30,57.25,57.67,56.67,56.97,830800
2026-03-31,57.48,58.43,57.38,58.38,2481100
2026-04-01,58.89,59.32,58.77,59.15,1680200
2026-04-02,58.60,59.38,58.45,59.32,1053500
2026-04-06,59.31,59.79,59.29,59.71,1026400
2026-04-07,59.59,60.09,59.45,60.05,1011100
2026-04-08,61.37,61.44,60.88,61.18,2991200
2026-04-09,60.97,61.93,60.97,61.87,1561200
2026-04-10,62.01,62.68,62.01,62.54,1856700
2026-04-13,62.29,63.10,61.91,63.08,6317100
2026-04-14,63.10,63.73,63.00,63.67,2360100
2026-04-15,63.84,64.14,63.78,64.10,864000
2026-04-16,64.17,64.22,63.69,63.89,1762300
2026-04-17,64.18,65.27,64.09,64.91,2664000
2026-04-20,64.73,65.29,64.70,65.18,803400
2026-04-21,65.27,65.45,64.48,64.52,1058000
2026-04-22,64.78,64.78,64.15,64.26,680700
2026-04-23,64.04,64.65,63.82,64.38,1091500
2026-04-24,64.40,64.88,64.07,64.61,1466500
2026-04-27,64.41,64.81,64.23,64.77,523000
2026-04-28,64.71,65.19,64.69,64.87,1427800
2026-04-29,64.80,64.92,64.02,64.11,1607200
2026-04-30,64.10,65.52,64.09,65.47,1503700
2026-05-01,65.50,65.95,65.27,65.55,1542800
2026-05-04,65.48,65.49,64.59,64.73,1137500
2026-05-05,64.91,65.24,64.80,64.99,637600
2026-05-06,65.49,66.65,65.49,66.39,2135700
2026-05-07,66.50,66.76,65.59,65.89,1214200
2026-05-08,66.16,66.39,65.71,65.95,949400
2026-05-11,65.91,66.08,65.50,65.83,643400
2026-05-12,65.86,66.18,65.40,66.18,1357200
2026-05-13,66.09,66.43,65.08,65.34,1199500
2026-05-14,65.53,66.41,65.52,66.41,1380100
2026-05-15,65.87,66.28,65.74,66.24,1008900
2026-05-19,66.58,66.97,66.19,66.62,1376800
2026-05-20,66.69,68.00,66.69,67.85,2092900
2026-05-21,67.69,68.82,67.63,68.62,1582000
2026-05-22,69.08,69.24,68.91,69.08,1140000
2026-05-25,69.53,69.98,69.47,69.69,588900
2026-05-26,69.54,69.88,68.96,69.36,926400
2026-05-27,69.17,69.82,68.75,69.03,3568400
2026-05-28,69.01,69.01,67.77,68.03,3278500
2026-05-29,68.13,68.60,67.29,68.06,1206900
2026-06-01,68.04,68.22,67.19,67.26,1391700
2026-06-02,67.19,68.63,67.19,68.59,1279000
2026-06-03,68.34,68.94,68.21,68.29,856400
2026-06-04,68.55,69.54,68.47,69.42,1265900
2026-06-05,69.23,69.67,68.99,69.30,1423100
2026-06-08,69.57,70.04,69.43,69.70,747500
2026-06-09,69.93,70.52,69.61,70.28,2143400
2026-06-10,70.15,70.71,69.98,70.06,1706000
2026-06-11,70.43,71.17,70.17,71.00,3533500
2026-06-12,71.33,72.10,71.33,71.79,1584100
2026-06-15,72.50,72.57,71.52,72.00,5826600
2026-06-16,72.30,72.81,72.13,72.68,7808300
2026-06-17,72.76,73.59,72.76,73.42,1954300
2026-06-18,73.94,74.20,73.67,73.80,1789000
2026-06-19,74.03,74.73,73.96,74.22,656300
2026-06-22,74.12,74.73,74.12,74.57,3156800
2026-06-23,74.15,74.97,73.84,74.86,932800
2026-06-24,74.97,75.01,74.18,74.51,2715800
2026-06-25,74.78,75.25,74.69,74.98,4270800
2026-06-26,74.85,74.90,74.32,74.59,2684200
2026-06-29,74.86,75.18,74.55,75.09,2589900
2026-06-30,75.15,75.77,75.01,75.64,1259200
2026-07-02,76.05,76.14,74.27,74.58,1492900
2026-07-03,74.79,75.44,74.79,74.97,139100
2026-07-06,75.10,75.89,75.10,75.89,1361000
2026-07-07,75.83,76.36,75.46,76.32,4826300
2026-07-08,75.91,76.07,74.23,74.71,4171800
2026-07-09,75.10,75.79,75.06,75.63,1496000
2026-07-10,75.75,76.87,75.70,76.78,2318400
